Ordinal	Word	Operation	Quality	core	senses	familiar_new	construction	phraseology	decision_boundary	relation_confusable	register_stance	family_morphology	form_identity	productive_use	repair_test	TestAction	Reasons	Rationale
o0701	carve	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	KEEP		Fresh final-sweep read + mandatory Self Attack found no allowed-gap Content mutation.
o0702	case	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	UPGRADED	REMOVE		Content preserved; standing Test decision changed under the frozen exact-repair-target rule.
o0703	cash	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	KEEP		Fresh final-sweep read + mandatory Self Attack found no allowed-gap Content mutation.
o0704	cashier	UPGRADED	DEPTH_READY	UPGRADED	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE	REDUNDANCY_NOISE	Fresh final-sweep read + mandatory Self Attack found an allowed-gap correction; see proposal.
o0705	cassette	NO_CHANGE	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh final-sweep read + mandatory Self Attack found no allowed-gap Content mutation.
o0706	cast	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	UPGRADED	NOT_NEEDED	UPGRADED	REMOVE	REGISTER_FORM_GAP	Fresh final-sweep read + mandatory Self Attack found an allowed-gap correction; see proposal.
o0707	castle	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh final-sweep read + mandatory Self Attack found no allowed-gap Content mutation.
o0708	casual	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	UPGRADED	REMOVE		Content preserved; standing Test decision changed under the frozen exact-repair-target rule.
o0709	casualty	UPGRADED	DEPTH_READY	PRESERVE	UPGRADED	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE	COVERAGE_GAP; REGISTER_FORM_GAP; REDUNDANCY_NOISE	Fresh final-sweep read + mandatory Self Attack found an allowed-gap correction; see proposal.
o0710	cat	NO_CHANGE	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh final-sweep read + mandatory Self Attack found no allowed-gap Content mutation.
