Ordinal	Word	Operation	Quality	core	senses	familiar_new	construction	phraseology	decision_boundary	relation_confusable	register_stance	family_morphology	form_identity	productive_use	repair_test	TestAction	Reasons	Rationale
o1001	conform	NO_CHANGE	DEPTH_READY	UPGRADED	PRESERVE	UPGRADED	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	KEEP		Fresh final-standard read + Self Attack found no allowed-gap Content mutation.
o1002	confront	UPGRADED	DEPTH_READY	PRESERVE	UPGRADED	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE	COVERAGE_GAP; DECISION_GAP	Fresh final-standard read + Self Attack found a bounded allowed-gap correction; see proposal.
o1003	confuse	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh final-standard read + Self Attack found no allowed-gap Content mutation.
o1004	confusion	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh final-standard read + Self Attack found no allowed-gap Content mutation.
o1005	congratulate	NO_CHANGE	DEPTH_READY	UPGRADED	PRESERVE	NOT_NEEDED	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	KEEP		Fresh final-standard read + Self Attack found no allowed-gap Content mutation.
o1006	congratulation	NO_CHANGE	DEPTH_READY	UPGRADED	PRESERVE	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	KEEP		Fresh final-standard read + Self Attack found no allowed-gap Content mutation.
o1007	congress	NO_CHANGE	DEPTH_READY	UPGRADED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	UPGRADED	NOT_NEEDED	PRESERVE	KEEP		Fresh final-standard read + Self Attack found no allowed-gap Content mutation.
o1008	conjunction	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh final-standard read + Self Attack found no allowed-gap Content mutation.
o1009	connect	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh final-standard read + Self Attack found no allowed-gap Content mutation.
o1010	connection	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh final-standard read + Self Attack found no allowed-gap Content mutation.
