Ordinal	Word	Operation	Quality	core	senses	familiar_new	construction	phraseology	decision_boundary	relation_confusable	register_stance	family_morphology	form_identity	productive_use	repair_test	TestAction	Reasons	Rationale	OwnerSHA256
o1101	correspond	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	KEEP		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	0ca2ff3d2f002f138af2924b24eba9adc41ed44e7cd5b8b1993d2fb3c887a502
o1102	correspondence	UPGRADED	DEPTH_READY	UPGRADED	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	COVERAGE_GAP	See bounded correction/new-delta proposal; fresh read + Self Attack stabilized this mutation.	a8997193524bf16231a41e41a74988b46291d3cf1071f6b5f5f028f7a9e0ca23
o1103	correspondent	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	dc5f1298a47a844e546bbd1504ec8fe7fabeb5efb634eac9ae0d4e32d78c7a75
o1104	corridor	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	98d0f0a50166831101cc596f6196def12593bbde5fb79be5fd1000b89882e58d
o1105	corrode	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	4f1974458e71668af9956da0dcfa2ec37526c192d27f4bcf36c07c07b1570532
o1106	corrupt	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	67c7253e77351e2a4f5324ad574baf178c59af6b3177088454f355e4d537b49c
o1107	cosmic	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	252164834e5776997fc703f1226435020f1486ef59ab3fadf462063f5fb0d0ce
o1108	cost	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	d11bdd473417bb4f9a430f28c3672fe9a668efea0537de74bd4a987cc266d013
o1109	costly	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	UPGRADED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE	OWNERSHIP_GAP	See bounded correction/new-delta proposal; fresh read + Self Attack stabilized this mutation.	39118a0b12f9e28b7b76ba79eb820ff5ddf79445be5e3364b39eb573e05f01fb
o1110	costume	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	0e94094fba397f4830c8a0c6b11cc2a22673cd88f53f4ad170725cd56deefbfb
o1111	cosy	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	UPGRADED	NOT_NEEDED	NOT_NEEDED	UPGRADED	NOT_NEEDED	UPGRADED	REMOVE	OWNERSHIP_GAP; REGISTER_FORM_GAP; REDUNDANCY_NOISE	See bounded correction/new-delta proposal; fresh read + Self Attack stabilized this mutation.	80f6426ae3cd6bc8e6b4ad2f37562db9f48d6e80dfa2ad6e842a40573af4e30c
o1112	cottage	UPGRADED	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	OWNERSHIP_GAP	See bounded correction/new-delta proposal; fresh read + Self Attack stabilized this mutation.	60ce9d104fc241178070d0bd1436056b151f912f9799bd2fcec590f30b3fe0de
