Ordinal	Word	Operation	Quality	NewMaterial	TestAction	Reasons	Rationale
o1451	disturb	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1452	disturbance	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1453	ditch	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Promote ditch=abandon/get rid of from sort_order=999 ahead of lower-value L3 water-landing/ditch-cutting branches; preserve ditch noun Core.
o1454	dive	UPGRADED	DEPTH_REVIEWED	YES	NONE	STRUCTURE_GAP; OWNERSHIP_GAP; REGISTER_FORM_GAP	Correct the combined figurative/fall branch to intransitive use; migrate existing dive↔dove inflection truth out of semantic Relation into Form ownership. Full paradigm/pronunciation closure is Human-Gated.
o1455	diverse	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1456	diversion	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1457	divert	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1458	divide	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1459	dividend	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1460	divine	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1461	division	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1462	divorce	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1463	dizzy	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1464	do	UPGRADED	DEPTH_REVIEWED	YES	NONE	DECISION_GAP; REGISTER_FORM_GAP	Raise auxiliary do to Core/L1 learner priority. Irregular do→did→done is Human-Gated.
o1465	dock	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1466	doctor	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1467	doctrine	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1468	document	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1469	documentary	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1470	dog	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1471	doll	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1472	dollar	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1473	domain	UPGRADED	DEPTH_REVIEWED	NO	NONE	STRUCTURE_GAP; DECISION_GAP	Current Core text names field/range + internet + math, but Core clusters own only the internet Sense. Rebuild clusters so ordinary field/range and internet L1 branches are actually represented; math remains Expansion.
o1474	dome	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1475	domestic	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1476	dominant	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1477	dominate	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1478	donate	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1479	donkey	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP; REDUNDANCY_NOISE	Core currently claims stupid/stubborn-person material although that truth is Reference-only. Keep donkey animal Core and preserve low-value insulting truth only in Reference.
o1480	doom	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1481	door	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1482	doorway	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1483	dormitory	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1484	dose	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP; STRUCTURE_GAP	The L1 noun dose is stated Core but follows lower-value verb branches and is absent from Core clusters. Restore noun-first learner priority and ownership.
o1485	dot	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1486	double	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1487	doubt	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1488	dove	UPGRADED	DEPTH_REVIEWED	YES	NONE	OWNERSHIP_GAP; REGISTER_FORM_GAP	Move existing dove=US past simple of dive truth from Relation to Form/Identity while preserving dove noun identity. Exact pronunciation/paradigm completion is Human-Gated with o1454.
o1489	down	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP; STRUCTURE_GAP	Promote current L1 adjective sales/prices are down from late position and add it to Core ownership.
o1490	downstairs	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1491	downtown	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1492	downward	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1493	doze	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1494	dozen	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1495	draft	UPGRADED	DEPTH_REVIEWED	NO	NONE	CORRECTNESS_GAP; OWNERSHIP_GAP; REDUNDANCY_NOISE	Current draft/draught overlay is incorrectly global. Refine the already-existing regional spelling truth to relevant air/beer uses, keep draft for document/conscription/bank uses, move to Form, and remove duplicate active draft-verb Secondary projection.
o1496	drag	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1497	dragon	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP; REDUNDANCY_NOISE	Put ordinary dragon L1 ahead of specialist flying-lizard L3 and remove deprecated fierce-woman material from Core wording while preserving Reference.
o1498	drain	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1499	drama	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1500	dramatic	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1501	drastic	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1502	draw	UPGRADED	DEPTH_REVIEWED	YES	NONE	REGISTER_FORM_GAP	Add high-value irregular Form draw→drew→drawn. No Sense/Test change.
o1503	drawback	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1504	drawer	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1505	drawing	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1506	dread	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Normalize the two current L1 dread branches from 999/1000 to ordinary noun→verb order.
o1507	dream	UPGRADED	DEPTH_REVIEWED	YES	NONE	COVERAGE_GAP; REGISTER_FORM_GAP	Current Core says 梦想 but active branches lack the ordinary hope/ambition noun sense. Add a bounded learner secondary branch plus dream→dreamed/dreamt Form; both are Human-Gated new material.
o1508	dress	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1509	drift	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP; STRUCTURE_GAP	Promote existing gradual-change/deviation noun from sort_order=999 and represent it explicitly in Core instead of hiding it under snow-drift wording.
o1510	drill	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP; STRUCTURE_GAP	Restore L1 drill=tool/machine from sort_order=999 and fix Core cluster ownership, which currently labels the tool but points at training senses.
o1511	drink	UPGRADED	DEPTH_REVIEWED	YES	NONE	REGISTER_FORM_GAP	Add high-value irregular Form drink→drank→drunk while preserving drunk as a lexicalized adjective owner.
o1512	drip	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1513	drive	UPGRADED	DEPTH_REVIEWED	YES	NONE	DECISION_GAP; REDUNDANCY_NOISE; REGISTER_FORM_GAP	Promote current L1 a drive=car journey into normal learner order/Core and remove duplicate motivation Secondary projection. Irregular drive→drove→driven is Human-Gated.
o1514	driver	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP; STRUCTURE_GAP	Promote current L1 driver=driving factor/main cause from late position and include it in Core for academic reading.
o1515	drone	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Put modern L1 unmanned-aircraft drone ahead of L2 male-bee branch.
o1516	drop	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP; STRUCTURE_GAP	Promote current L1 intransitive drop=decrease and attach it to the Core verb cluster that already claims 下降 but currently points only to transitive let-fall.
o1517	drought	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
