Ordinal	Word	Operation	Quality	core	senses	familiar_new	construction	phraseology	decision_boundary	relation_confusable	register_stance	family_morphology	form_identity	productive_use	repair_test	TestAction	Rationale	OwnerSHA256
o0201	animal	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	58e023b766cf3ae82695f7accc51c96343325720771f99513a67da58ad9b76f7
o0202	ankle	NO_CHANGE	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	e1b8030c8ea50ec33a4044814296ee3bfe4341c61c9c50d1637e382accfa0a23
o0203	anniversary	NO_CHANGE	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	3969a3988e0729018afe07fe1f79322e8f9b8b7358c41d38ac02f3a59fc45f76
o0204	announce	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	Content preserved; existing test does not add a useful repair branch.	4ffcaed0c5d7328ab5933a8a459d16e55ab06ea37464114a18debc122f420fe2
o0205	annoy	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	6d19b536f78636e20944cb698aefa4d337154a72aba536ac53e63d53a15fb8f0
o0206	annual	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE	See proposal in o0201-o0300.production-c-lookahead.md	35ce3547f4a5dd8c2bbf9f53b95c6ba2695320380966e983ca77531e7b5d4c32
o0207	anonymous	NO_CHANGE	SAFE_SIMPLE	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	baca981120d8bb19481d275e8bad553c2b32ae2d100db3bcefc6365f92401dde
o0208	another	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	dff486391f11d7206f06d20e192259abcd8fb18617962a020e8f6126e5c72993
o0209	answer	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	See proposal in o0201-o0300.production-c-lookahead.md	19a0e9b1e104d88d4e170002ea13a02f41abe11c2174e2b4ca5370e61e120da5
o0210	ant	NO_CHANGE	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	19c561610e2162388d6a8139002d761fe486666c31edb4b37585f5d7fae43620
